query,model,A1,A2,A3,A4,A5
Salesforce vs Pipedrive for sales teams,perplexity,3.6,3.9,4.0,4.0,4.0
Semrush vs Ahrefs for SEO,gemini,3.2,3.4,3.6,3.8,4.0
Semrush vs Ahrefs for SEO,openai,3.2,3.4,3.6,3.8,4.0
Semrush vs Ahrefs for SEO,perplexity,3.0,3.0,3.0,3.0,3.0
Shopify vs Amazon for brand building,gemini,3.0,3.0,3.0,3.0,3.0
Shopify vs Amazon for brand building,openai,2.2,2.4,2.6,2.8,3.0
Shopify vs Amazon for brand building,perplexity,3.0,3.0,3.0,3.0,3.0
Shopify vs WooCommerce for small stores,gemini,2.0,2.0,2.0,2.0,2.0
Shopify vs WooCommerce for small stores,openai,2.5999999999999996,3.2,3.8,4.4,5.0
Shopify vs WooCommerce for small stores,perplexity,2.4,2.8,3.2,3.6,4.0
Stripe vs Adyen for enterprise payments,gemini,3.2,3.4,3.6,3.8,4.0
Stripe vs Adyen for enterprise payments,perplexity,3.8,4.5,5.1,5.6,6.0
Stripe vs PayPal for online payments,gemini,3.8,4.3,4.6,4.8,5.0
Stripe vs PayPal for online payments,openai,3.4,3.7,3.9,4.0,4.0
Stripe vs PayPal for online payments,perplexity,2.8,3.0,3.0,3.0,3.0
Teladoc vs Doctolib in European market,gemini,3.0,3.0,3.0,3.0,3.0
Teladoc vs Doctolib in European market,perplexity,4.2,4.8,5.2,5.6,6.0
Teladoc vs Kry for telehealth,gemini,3.0,3.0,3.0,3.0,3.0
Teladoc vs Kry for telehealth,openai,3.0,3.0,3.0,3.0,3.0
Teladoc vs Kry for telehealth,perplexity,3.2,3.4,3.6,3.8,4.0
Temu vs Amazon for cheap products,gemini,3.0,3.0,3.0,3.0,3.0
Temu vs Amazon for cheap products,openai,2.4,2.8,3.2,3.6,4.0
Temu vs Amazon for cheap products,perplexity,3.0,3.0,3.0,3.0,3.0
Veeva vs Medidata for clinical trials,gemini,2.0,2.0,2.0,2.0,2.0
Veeva vs Medidata for clinical trials,perplexity,2.0,2.0,2.0,2.0,2.0
Veeva vs Oracle Health for life sciences,gemini,3.6,4.1,4.5,4.8,5.0
Veeva vs Oracle Health for life sciences,perplexity,3.8,4.0,4.0,4.0,4.0
Vinted vs eBay for secondhand shopping,gemini,1.8,2.0,2.0,2.0,2.0
Vinted vs eBay for secondhand shopping,openai,1.2,1.4,1.6,1.8,2.0
Vinted vs eBay for secondhand shopping,perplexity,2.0,2.0,2.0,2.0,2.0
What CRM options exist for startups?,gemini,3.4,3.9,4.0,4.0,4.0
What CRM options exist for startups?,openai,7.2,8.7,9.4,9.8,10.0
What CRM options exist for startups?,perplexity,4.0,4.0,4.0,4.0,4.0
What EHR systems are available for hospitals?,gemini,4.4,4.7,4.9,5.0,5.0
What EHR systems are available for hospitals?,openai,5.4,6.6,7.4,8.2,9.0
What EHR systems are available for hospitals?,perplexity,3.2,4.0,4.5,4.8,5.0
What SEO platforms are available for agencies?,gemini,3.0,3.0,3.0,3.0,3.0
What SEO platforms are available for agencies?,openai,3.0,3.0,3.0,3.0,3.0
What SEO platforms are available for agencies?,perplexity,3.0,3.0,3.0,3.0,3.0
What alternatives exist to Amazon in the Nordics?,gemini,1.7999999999999998,2.5,3.1,3.6,4.0
What alternatives exist to Amazon in the Nordics?,openai,4.4,5.5,5.9,6.0,6.0
What alternatives exist to Amazon in the Nordics?,perplexity,5.0,5.9,6.0,6.0,6.0
What alternatives exist to Epic Systems?,gemini,3.4,3.7,3.9,4.0,4.0
What alternatives exist to Epic Systems?,openai,6.0,7.2,7.6,7.8,8.0
What alternatives exist to Epic Systems?,perplexity,5.4,5.7,5.9,6.0,6.0
What are alternatives to McKinsey?,gemini,8.2,8.7,8.9,9.0,9.0
What are alternatives to McKinsey?,openai,10.0,10.0,10.0,10.0,10.0
What are alternatives to McKinsey?,perplexity,9.0,9.4,9.6,9.8,10.0
What are alternatives to PayPal?,gemini,7.6,8.3,8.6,8.8,9.0
What are alternatives to PayPal?,openai,9.0,9.8,10.0,10.0,10.0
What are alternatives to PayPal?,perplexity,7.6,8.4,8.6,8.8,9.0
What are alternatives to Salesforce?,gemini,3.8,4.6,4.9,5.0,5.0
What are alternatives to Salesforce?,openai,4.6,5.3,5.6,5.8,6.0
What are alternatives to Salesforce?,perplexity,3.8,4.6,4.9,5.0,5.0
What are the Big 4 consulting firms?,gemini,8.0,8.0,8.0,8.0,8.0
What are the Big 4 consulting firms?,openai,4.0,4.0,4.0,4.0,4.0
What are the Big 4 consulting firms?,perplexity,7.8,8.0,8.0,8.0,8.0
What are the best tools for visual collaboration?,gemini,1.2,1.4,1.6,1.8,2.0
What are the best tools for visual collaboration?,openai,2.5999999999999996,3.3,3.6,3.8,4.0
What are the best tools for visual collaboration?,perplexity,3.2,3.8,4.2,4.6,5.0
What are the biggest e-commerce platforms?,gemini,3.4,4.3,4.6,4.8,5.0
What are the biggest e-commerce platforms?,openai,4.4,5.5,6.1,6.6,7.0
What are the biggest e-commerce platforms?,perplexity,4.2,4.8,5.2,5.6,6.0
What are the biggest healthcare IT vendors?,gemini,4.4,4.9,5.0,5.0,5.0
What are the biggest healthcare IT vendors?,openai,7.0,8.0,8.5,8.8,9.0
What are the biggest healthcare IT vendors?,perplexity,6.0,8.1,9.3,10.2,11.0
What are the fastest growing consulting firms?,gemini,3.4,4.9,5.9,6.6,7.0
What are the fastest growing consulting firms?,openai,8.0,9.1,9.5,9.8,10.0
What are the fastest growing consulting firms?,perplexity,7.0,8.0,8.0,8.0,8.0
What are the fastest-growing e-commerce companies?,gemini,2.2,2.7,2.9,3.0,3.0
What are the fastest-growing e-commerce companies?,openai,4.0,5.3,6.1,6.6,7.0
What are the fastest-growing e-commerce companies?,perplexity,2.4,3.2,3.6,3.8,4.0
What are the main BNPL providers?,gemini,4.6,5.1,5.5,5.8,6.0
What are the main BNPL providers?,openai,5.4,6.0,6.0,6.0,6.0
What are the main BNPL providers?,perplexity,4.2,4.9,5.0,5.0,5.0
What are the main CRM platforms on the market?,gemini,3.8,4.7,5.2,5.6,6.0
What are the main CRM platforms on the market?,openai,4.6,4.9,5.0,5.0,5.0
What are the main CRM platforms on the market?,perplexity,5.4,5.7,5.9,6.0,6.0
What are the top 10 business software tools?,gemini,3.0,4.0,4.5,4.8,5.0
What are the top 10 business software tools?,openai,2.8,3.3,3.6,3.8,4.0
What are the top 10 business software tools?,perplexity,4.2,5.3,5.8,6.0,6.0
What are the top boutique consulting firms?,gemini,6.8,7.7,8.0,8.0,8.0
What are the top boutique consulting firms?,openai,4.6,5.5,6.1,6.6,7.0
What are the top fashion e-commerce sites?,gemini,4.0,4.9,5.0,5.0,5.0
What are the top fashion e-commerce sites?,openai,4.2,4.8,5.2,5.6,6.0
What are the top fashion e-commerce sites?,perplexity,5.0,6.5,6.9,7.0,7.0
What are the top fintech companies in 2026?,gemini,5.0,6.2,7.0,7.6,8.0
What are the top fintech companies in 2026?,openai,9.0,9.0,9.0,9.0,
What are the top fintech companies in 2026?,perplexity,7.0,8.6,9.2,9.6,10.0
What are the top health tech companies?,gemini,4.0,5.0,5.5,5.8,6.0
What are the top health tech companies?,openai,8.4,9.2,9.8,10.4,11.0
What are the top health tech companies?,perplexity,2.8,4.6,5.9,7.0,8.0
What are the top project management tools in 2026?,gemini,4.2,5.1,5.5,5.8,6.0
What are the top project management tools in 2026?,openai,5.4,6.1,6.5,6.8,7.0
What are the top project management tools in 2026?,perplexity,4.4,5.4,6.1,6.6,7.0
What are the top strategy consulting firms?,gemini,8.0,8.6,8.9,9.0,9.0
What are the top strategy consulting firms?,openai,9.0,9.8,10.0,10.0,10.0
What are the top strategy consulting firms?,perplexity,8.2,9.0,9.5,9.8,10.0
What collaboration tools do companies use?,gemini,3.5,3.8333333333333335,4.0,4.0,
What collaboration tools do companies use?,openai,5.6,5.9,6.0,6.0,6.0
What collaboration tools do companies use?,perplexity,3.4,4.5,5.1,5.6,6.0
What companies provide healthcare analytics?,gemini,3.4,3.8,4.2,4.6,5.0
What companies provide healthcare analytics?,openai,9.0,12.600000000000001,15.0,16.4,17.0
What companies provide healthcare analytics?,perplexity,3.6,4.4,4.8,5.0,5.0
What consulting firms are strongest in the Nordics?,gemini,6.2,7.3,7.8,8.0,8.0
What consulting firms are strongest in the Nordics?,openai,9.2,9.4,9.6,9.8,10.0
What consulting firms are strongest in the Nordics?,perplexity,6.0,6.0,6.0,6.0,6.0
What consulting firms specialize in healthcare?,gemini,6.4,7.6,8.0,8.0,8.0
What consulting firms specialize in healthcare?,openai,10.0,10.4,10.6,10.8,11.0
What consulting firms specialize in healthcare?,perplexity,7.0,7.6,7.9,8.0,8.0
What consulting firms work with governments?,gemini,9.4,9.7,9.9,10.0,10.0
What consulting firms work with governments?,openai,9.8,10.0,10.0,10.0,10.0
What consulting firms work with governments?,perplexity,8.2,8.4,8.6,8.8,9.0
What fintech companies provide business lending?,gemini,4.0,4.9,5.0,5.0,5.0
What fintech companies provide business lending?,openai,4.6,5.5,6.1,6.6,7.0
What fintech companies provide business lending?,perplexity,1.25,1.5,1.75,2.0,
What fintech startups are disrupting banking?,gemini,4.0,4.7,4.9,5.0,5.0
What fintech startups are disrupting banking?,perplexity,3.4,4.5,5.1,5.6,6.0
What firms provide ESG consulting?,gemini,7.4,7.7,7.9,8.0,8.0
What firms provide ESG consulting?,openai,9.2,9.9,10.0,10.0,10.0
What firms provide ESG consulting?,perplexity,4.6,5.5,6.1,6.6,7.0
What firms specialize in change management?,gemini,6.8,8.0,8.5,8.8,9.0
What firms specialize in change management?,openai,8.4,8.8,9.2,9.6,10.0
What firms specialize in change management?,perplexity,8.6,8.9,9.0,9.0,9.0
What health tech startups are emerging?,gemini,1.6,2.1,2.5,2.8,3.0
What health tech startups are emerging?,perplexity,1.4,1.8,2.2,2.6,3.0
What is the best CRM for small businesses?,gemini,4.2,4.8,5.0,5.0,5.0
What is the best CRM for small businesses?,openai,3.6,4.5,5.1,5.6,6.0
What is the best CRM for small businesses?,perplexity,4.8,5.0,5.0,5.0,5.0
What is the best EHR for hospitals?,gemini,4.4,4.7,4.9,5.0,5.0
What is the best EHR for hospitals?,openai,4.2,4.4,4.6,4.8,5.0
What is the best EHR for hospitals?,perplexity,5.0,5.0,5.0,5.0,5.0
What is the best IT consulting company?,gemini,7.8,9.3,9.8,10.0,10.0
What is the best IT consulting company?,openai,6.6,8.5,9.5,10.0,10.0
What is the best IT consulting company?,perplexity,7.4,9.2,10.1,10.6,11.0
What is the best SEO tool in 2026?,gemini,3.0,3.0,3.0,3.0,3.0
What is the best SEO tool in 2026?,openai,3.0,3.0,3.0,3.0,3.0
What is the best SEO tool in 2026?,perplexity,3.0,3.0,3.0,3.0,3.0
What is the best alternative to Amazon?,gemini,2.0,2.0,2.0,2.0,2.0
What is the best alternative to Amazon?,openai,2.0,2.8,3.4,3.8,4.0
What is the best alternative to Amazon?,perplexity,2.4,3.1,3.5,3.8,4.0
What is the best alternative to traditional banking?,gemini,2.0,2.0,2.0,2.0,2.0
What is the best alternative to traditional banking?,openai,5.4,6.4,6.8,7.0,7.0
What is the best alternative to traditional banking?,perplexity,1.2,1.4,1.6,1.8,2.0
What is the best audit firm?,gemini,4.0,4.0,4.0,4.0,4.0
What is the best audit firm?,openai,4.0,4.0,4.0,4.0,4.0
What is the best audit firm?,perplexity,4.4,4.8,5.2,5.6,6.0
What is the best consulting firm in Europe?,gemini,7.2,7.7,7.9,8.0,8.0
What is the best consulting firm in Europe?,openai,10.0,10.0,10.0,10.0,10.0
What is the best consulting firm in Europe?,perplexity,5.8,6.5,7.1,7.6,8.0
What is the best digital health platform in the Nordics?,gemini,2.2,3.0,3.5,3.8,4.0
What is the best digital health platform in the Nordics?,openai,3.2,3.4,3.6,3.8,4.0
What is the best digital health platform in the Nordics?,perplexity,1.6,1.9,2.0,2.0,2.0
What is the best digital wallet?,gemini,3.8,5.1,5.7,6.0,6.0
What is the best digital wallet?,openai,5.0,5.8,6.2,6.6,7.0
What is the best digital wallet?,perplexity,3.0,3.4,3.6,3.8,4.0
What is the best doctor appointment booking platform?,gemini,2.4,3.1,3.5,3.8,4.0
What is the best doctor appointment booking platform?,openai,3.4,4.7,5.4,5.8,6.0
What is the best doctor appointment booking platform?,perplexity,1.0,1.0,1.0,1.0,1.0
What is the best e-commerce platform for small businesses?,gemini,2.4,2.7,2.9,3.0,3.0
What is the best e-commerce platform for small businesses?,openai,2.6,3.1,3.5,3.8,4.0
What is the best e-commerce platform for small businesses?,perplexity,3.2,3.4,3.6,3.8,4.0
What is the best e-commerce platform?,gemini,2.6,3.1,3.5,3.8,4.0
What is the best e-commerce platform?,openai,3.0,4.1,4.7,5.0,5.0
What is the best e-commerce platform?,perplexity,3.2,4.0,4.5,4.8,5.0
What is the best electronic health record system?,gemini,2.8,3.6,3.9,4.0,4.0
What is the best electronic health record system?,openai,4.0,4.6,4.9,5.0,5.0
What is the best electronic health record system?,perplexity,3.4,3.9,4.0,4.0,4.0
What is the best fintech for Baltic businesses?,gemini,5.8,6.0,6.0,6.0,6.0
What is the best fintech for Baltic businesses?,openai,4.8,5.7,6.2,6.6,7.0
What is the best fintech for Baltic businesses?,perplexity,2.0,2.0,2.0,2.0,2.0
What is the best fintech for cross-border payments?,gemini,3.8,4.3,4.6,4.8,5.0
What is the best fintech for cross-border payments?,openai,4.6,5.3,5.6,5.8,6.0
What is the best fintech for cross-border payments?,perplexity,2.8,3.5,4.1,4.6,5.0
What is the best firm for operations consulting?,gemini,5.8,6.3,6.6,6.8,7.0
What is the best firm for operations consulting?,openai,9.0,9.7,9.9,10.0,10.0
What is the best firm for operations consulting?,perplexity,6.8,7.0,7.0,7.0,7.0
What is the best firm for risk consulting?,gemini,4.8,5.9,6.5,6.8,7.0
What is the best firm for risk consulting?,openai,8.4,8.7,8.9,9.0,9.0
What is the best firm for risk consulting?,perplexity,6.4,7.4,8.1,8.6,9.0
What is the best firm for strategy consulting?,gemini,7.4,7.7,7.9,8.0,8.0
What is the best firm for strategy consulting?,openai,7.4,8.4,9.1,9.6,10.0
What is the best firm for strategy consulting?,perplexity,6.4,7.2,7.6,7.8,8.0
What is the best firm for technology implementation?,gemini,7.2,7.9,8.0,8.0,8.0
What is the best firm for technology implementation?,openai,4.4,5.2,5.8,6.4,7.0
What is the best firm for technology implementation?,perplexity,6.8,8.0,8.8,9.4,10.0
What is the best free CRM software?,gemini,1.6,1.9,2.0,2.0,2.0
What is the best free CRM software?,openai,2.0,2.4,2.6,2.8,3.0
What is the best free CRM software?,perplexity,2.6,3.1,3.5,3.8,4.0
What is the best healthcare IT company?,gemini,4.4,5.2,5.8,6.4,7.0
What is the best healthcare IT company?,openai,5.8,6.0,6.0,6.0,6.0
What is the best healthcare IT company?,perplexity,7.4,10.0,11.2,11.8,12.0
What is the best healthcare platform in Europe?,gemini,2.8,3.0,3.0,3.0,3.0
What is the best healthcare platform in Europe?,openai,5.0,6.1,6.5,6.8,7.0
What is the best healthcare platform in Europe?,perplexity,1.4,1.8,2.2,2.6,3.0
What is the best inbound marketing platform?,gemini,2.6,2.9,3.0,3.0,3.0
What is the best inbound marketing platform?,openai,4.8,6.0,6.7,7.0,7.0
What is the best inbound marketing platform?,perplexity,3.1999999999999997,4.4,5.1,5.6,6.0
What is the best keyword research tool?,gemini,3.0,3.0,3.0,3.0,3.0
What is the best keyword research tool?,openai,3.2,3.4,3.6,3.8,4.0
What is the best keyword research tool?,perplexity,3.2,3.4,3.6,3.8,4.0
What is the best management consulting firm?,gemini,7.8,8.3,8.6,8.8,9.0
What is the best management consulting firm?,openai,9.4,9.7,9.9,10.0,10.0
What is the best management consulting firm?,perplexity,6.6,7.6,7.9,8.0,8.0
What is the best marketplace for electronics in the Nordics?,gemini,1.2,1.4,1.6,1.8,2.0
What is the best marketplace for electronics in the Nordics?,openai,2.0,2.6,2.9,3.0,3.0
What is the best marketplace for electronics in the Nordics?,perplexity,1.2,1.8,2.0,2.0,2.0
What is the best marketplace for sustainable shopping?,gemini,2.6,3.1,3.5,3.8,4.0
What is the best marketplace for sustainable shopping?,perplexity,1.25,1.5,1.75,2.0,
What is the best neobank in Europe?,gemini,3.2,3.7,3.9,4.0,4.0
What is the best neobank in Europe?,openai,3.6,3.9,4.0,4.0,4.0
What is the best neobank in Europe?,perplexity,3.0,3.0,3.0,3.0,3.0
What is the best online shopping experience?,gemini,1.8,2.0,2.0,2.0,2.0
What is the best online shopping experience?,openai,2.8,3.9,4.7,5.4,6.0
What is the best online shopping experience?,perplexity,3.6,4.4,4.8,5.0,5.0
What is the best patient management system?,gemini,2.2,2.8,3.0,3.0,3.0
What is the best patient management system?,openai,4.0,4.6,4.9,5.0,5.0
What is the best patient management system?,perplexity,3.2,3.7,3.9,4.0,4.0
What is the best payment gateway for e-commerce?,gemini,5.4,5.9,6.0,6.0,6.0
What is the best payment gateway for e-commerce?,openai,5.4,6.4,7.1,7.6,8.0
What is the best payment gateway for e-commerce?,perplexity,6.2,6.4,6.6,6.8,7.0
What is the best payment processor for online businesses?,gemini,4.4,5.0,5.0,5.0,5.0
What is the best payment processor for online businesses?,openai,5.4,6.1,6.5,6.8,7.0
What is the best payment processor for online businesses?,perplexity,5.0,6.0,6.5,6.8,7.0
What is the best platform for recurring payments?,gemini,3.0,3.7,4.2,4.6,5.0
What is the best platform for recurring payments?,openai,3.4,4.4,5.1,5.6,6.0
What is the best platform for recurring payments?,perplexity,4.0,4.4,4.6,4.8,5.0
What is the best platform to start an online store?,gemini,3.2,3.4,3.6,3.8,4.0
What is the best platform to start an online store?,openai,2.6,3.1,3.5,3.8,4.0
What is the best platform to start an online store?,perplexity,3.4,4.1,4.5,4.8,5.0
What is the best productivity tool for startups?,gemini,2.5999999999999996,3.6,4.2,4.6,5.0
What is the best productivity tool for startups?,openai,2.5999999999999996,3.3,3.6,3.8,4.0
What is the best productivity tool for startups?,perplexity,3.4,4.6,5.2,5.6,6.0
What is the best telemedicine app?,gemini,1.6,1.9,2.0,2.0,2.0
What is the best telemedicine app?,openai,2.6,3.5,3.9,4.0,4.0
What is the best telemedicine app?,perplexity,1.8,2.0,2.0,2.0,2.0
What is the best tool for team collaboration?,gemini,4.4,5.2,5.6,5.8,6.0
What is the best tool for team collaboration?,openai,2.4,2.8,3.2,3.6,4.0
What is the best tool for team collaboration?,perplexity,4.8,5.4,5.6,5.8,6.0
What is the best whiteboard tool for brainstorming?,gemini,2.4,2.7,2.9,3.0,3.0
What is the best whiteboard tool for brainstorming?,openai,1.6,1.9,2.0,2.0,2.0
What is the best whiteboard tool for brainstorming?,perplexity,2.0,2.4,2.6,2.8,3.0
What is the cheapest place to shop online?,gemini,2.8,3.0,3.0,3.0,3.0
What is the cheapest place to shop online?,openai,3.6,4.1,4.5,4.8,5.0
What is the cheapest place to shop online?,perplexity,3.0,3.4,3.6,3.8,4.0
What marketing tools do SaaS companies use?,gemini,4.8,5.4,5.8,6.0,6.0
What marketing tools do SaaS companies use?,perplexity,4.0,4.4,4.6,4.8,5.0
What marketplaces are popular in Eastern Europe?,gemini,2.5999999999999996,3.2,3.8,4.4,5.0
What marketplaces are popular in Eastern Europe?,openai,3.4,4.4,4.8,5.0,5.0
What marketplaces are popular in Eastern Europe?,perplexity,3.2,3.8,4.0,4.0,4.0
What marketplaces sell electronics online?,gemini,2.0,2.0,2.0,2.0,2.0
What marketplaces sell electronics online?,openai,2.8,3.3,3.6,3.8,4.0
What marketplaces sell electronics online?,perplexity,2.8,3.3,3.6,3.8,4.0
What medical imaging companies are on the market?,gemini,3.0,3.0,3.0,3.0,3.0
What medical imaging companies are on the market?,perplexity,2.8,3.0,3.0,3.0,3.0
What neobanks operate in the Nordics?,openai,4.8,5.0,5.0,5.0,5.0
What online marketplaces operate in Europe?,gemini,3.5999999999999996,4.3,4.6,4.8,5.0
What online marketplaces operate in Europe?,openai,6.4,6.8,7.2,7.6,8.0
What online marketplaces operate in Europe?,perplexity,6.4,6.9,7.0,7.0,7.0
What payment platforms support cryptocurrency?,gemini,4.8,5.4,5.6,5.8,6.0
What payment platforms support cryptocurrency?,openai,4.0,5.4,6.1,6.6,7.0
What payment platforms support cryptocurrency?,perplexity,2.8,3.4,3.6,3.8,4.0
What payment processors are available in Europe?,gemini,4.4,5.4,6.1,6.6,7.0
What payment processors are available in Europe?,openai,5.6,6.5,6.9,7.0,7.0
What payment processors are available in Europe?,perplexity,3.1999999999999997,4.4,5.1,5.6,6.0
What payment providers support open banking?,gemini,2.6,3.1,3.5,3.8,4.0
What payment providers support open banking?,openai,3.4,4.0,4.0,4.0,4.0
What payment providers support open banking?,perplexity,3.0,4.3,5.1,5.6,6.0
What payment solutions exist for subscription businesses?,gemini,4.2,4.4,4.6,4.8,5.0
What payment solutions exist for subscription businesses?,perplexity,6.6,7.0,7.0,7.0,7.0
What platforms help brands sell direct-to-consumer?,gemini,3.2,3.8,4.2,4.6,5.0
What platforms help brands sell direct-to-consumer?,openai,8.4,9.1,9.5,9.8,10.0
What platforms help brands sell direct-to-consumer?,perplexity,2.2,2.8,3.2,3.6,4.0
What platforms help patients book appointments?,gemini,2.2,3.0,3.5,3.8,4.0
What platforms help patients book appointments?,openai,4.4,4.7,4.9,5.0,5.0
What platforms help patients book appointments?,perplexity,2.0,2.6,2.9,3.0,3.0
What platforms support digital therapeutics?,gemini,2.4,2.9,3.0,3.0,3.0
What platforms support digital therapeutics?,openai,5.0,6.3,7.1,7.6,8.0
What platforms support digital therapeutics?,perplexity,1.4,2.1,2.5,2.8,3.0
What platforms support resale and circular fashion?,gemini,1.8,2.0,2.0,2.0,2.0
What platforms support resale and circular fashion?,openai,2.2,2.8,3.2,3.6,4.0
What platforms support resale and circular fashion?,perplexity,1.0,1.6666666666666667,2.0,2.0,
What project management tools integrate with Slack?,gemini,3.8,4.3,4.6,4.8,5.0
What project management tools integrate with Slack?,openai,4.6,5.2,5.8,6.4,7.0
What project management tools integrate with Slack?,perplexity,4.0,4.0,4.0,4.0,4.0
What quick commerce services are available?,gemini,1.0,1.0,1.0,1.0,1.0
What quick commerce services are available?,openai,2.8,3.4,3.6,3.8,4.0
What quick commerce services are available?,perplexity,1.0,1.0,1.0,1.0,
What telehealth platforms operate in Europe?,gemini,2.8,3.0,3.0,3.0,3.0
What telehealth platforms operate in Europe?,openai,4.2,4.4,4.6,4.8,5.0
What telehealth platforms operate in Europe?,perplexity,4.6,4.9,5.0,5.0,5.0
Which CRM is most trusted by enterprises?,gemini,1.8,2.0,2.0,2.0,2.0
Which CRM is most trusted by enterprises?,openai,1.6,1.9,2.0,2.0,2.0
Which CRM is most trusted by enterprises?,perplexity,2.4,2.7,2.9,3.0,3.0
Which EHR system is most trusted by hospitals?,gemini,4.6,5.0,5.0,5.0,5.0
Which EHR system is most trusted by hospitals?,openai,3.6,4.1,4.5,4.8,5.0
Which EHR system is most trusted by hospitals?,perplexity,4.0,5.2,5.8,6.0,6.0
Which SEO tool do professionals recommend?,gemini,3.0,3.0,3.0,3.0,3.0
Which SEO tool do professionals recommend?,openai,3.0,3.0,3.0,3.0,3.0
Which SEO tool do professionals recommend?,perplexity,3.0,3.0,3.0,3.0,3.0
Which SaaS companies are most innovative in 2026?,gemini,1.7999999999999998,2.3,2.6,2.8,3.0
Which SaaS companies are most innovative in 2026?,openai,5.4,7.0,7.8,8.4,9.0
Which SaaS companies are most innovative in 2026?,perplexity,3.1999999999999993,5.9,8.2,10.2,12.0
Which consulting firm has the best reputation for talent?,gemini,6.2,7.4,7.9,8.0,8.0
Which consulting firm has the best reputation for talent?,openai,8.4,9.4,10.1,10.6,11.0
Which consulting firm has the best reputation for talent?,perplexity,3.8,4.3,4.6,4.8,5.0
Which consulting firm is best for early-career professionals?,gemini,7.6,8.1,8.5,8.8,9.0
Which consulting firm is best for early-career professionals?,openai,9.4,9.9,10.0,10.0,10.0
Which consulting firm is best for early-career professionals?,perplexity,7.0,8.4,8.9,9.0,9.0
Which consulting firm is most prestigious?,gemini,6.0,7.2,7.8,8.0,8.0
Which consulting firm is most prestigious?,openai,9.4,9.9,10.0,10.0,10.0
Which consulting firm is most prestigious?,perplexity,6.199999999999999,7.5,8.2,8.6,9.0
Which consulting firm provides the most value for money?,gemini,8.4,8.7,8.9,9.0,9.0
Which consulting firm provides the most value for money?,openai,7.4,8.8,9.4,9.8,10.0
Which consulting firm provides the most value for money?,perplexity,7.8,9.2,9.8,10.4,11.0
Which e-commerce company is most innovative?,gemini,3.8,4.3,4.6,4.8,5.0
Which e-commerce company is most innovative?,openai,2.6,3.1,3.5,3.8,4.0
Which e-commerce company is most innovative?,perplexity,2.6,3.4,3.8,4.0,4.0
Which e-commerce platform is most trusted?,gemini,4.0,4.8,5.4,5.8,6.0
Which e-commerce platform is most trusted?,openai,4.2,5.2,6.0,6.6,7.0
Which e-commerce platform is most trusted?,perplexity,3.4,3.7,3.9,4.0,4.0
Which fashion retailer has the best reputation?,gemini,1.4,1.7,1.9,2.0,2.0
Which fashion retailer has the best reputation?,perplexity,1.25,2.0,2.5,3.0,
Which fintech company is most likely to succeed long-term?,gemini,3.0,3.0,3.0,3.0,3.0
Which fintech company is most likely to succeed long-term?,openai,5.0,5.9,6.7,7.4,8.0
Which fintech company is most likely to succeed long-term?,perplexity,4.4,5.9,6.5,6.8,7.0
Which fintech is most innovative?,gemini,5.0,6.5,7.4,8.2,9.0
Which fintech is most innovative?,openai,7.6,8.3,8.6,8.8,9.0
Which fintech is most innovative?,perplexity,4.0,4.7,4.9,5.0,5.0
Which firm is most trusted for CEO advisory?,gemini,3.6,4.0,4.0,4.0,4.0
Which firm is most trusted for CEO advisory?,openai,4.0,4.0,4.0,4.0,4.0
Which firm is most trusted for CEO advisory?,perplexity,5.4,6.9,7.5,7.8,8.0
Which health tech company has the best reputation?,gemini,3.4,4.5,5.3,5.8,6.0
Which health tech company has the best reputation?,openai,4.4,5.5,6.3,6.8,7.0
Which health tech company has the best reputation?,perplexity,2.8,3.9,4.7,5.4,6.0
Which healthcare IT vendor provides the best support?,gemini,4.0,4.6,4.9,5.0,5.0
Which healthcare IT vendor provides the best support?,openai,2.2,3.8000000000000003,4.9,5.6,6.0
Which healthcare IT vendor provides the best support?,perplexity,4.25,4.833333333333333,5.0,5.0,
Which marketing platform has the best reputation?,gemini,4.6,5.3,5.6,5.8,6.0
Which marketing platform has the best reputation?,openai,3.8,4.4,4.8,5.0,5.0
Which marketing platform has the best reputation?,perplexity,2.2,2.7,2.9,3.0,3.0
Which medical imaging company is most innovative?,gemini,2.4,2.8,3.2,3.6,4.0
Which medical imaging company is most innovative?,openai,2.2,2.4,2.6,2.8,3.0
Which medical imaging company is most innovative?,perplexity,1.4,1.8,2.2,2.6,3.0
Which money transfer service is most reliable?,gemini,2.2,2.4,2.6,2.8,3.0
Which money transfer service is most reliable?,openai,3.2,3.4,3.6,3.8,4.0
Which money transfer service is most reliable?,perplexity,3.2,3.7,3.9,4.0,4.0
Which neobank has the best customer satisfaction?,gemini,1.2,1.4,1.6,1.8,2.0
Which neobank has the best customer satisfaction?,openai,2.4,3.1,3.5,3.8,4.0
Which neobank has the best customer satisfaction?,perplexity,3.2,4.0,4.5,4.8,5.0
Which online marketplace has the best customer service?,gemini,2.0,2.0,2.0,2.0,2.0
Which online marketplace has the best customer service?,openai,2.8,3.3,3.6,3.8,4.0
Which online marketplace has the best customer service?,perplexity,2.0,2.0,2.0,2.0,2.0
Which online marketplace offers the best value for money?,gemini,3.0,3.0,3.0,3.0,3.0
Which online marketplace offers the best value for money?,openai,3.2,3.7,3.9,4.0,4.0
Which online marketplace offers the best value for money?,perplexity,2.2,2.4,2.6,2.8,3.0
Which payment processor is most trusted by businesses?,gemini,7.2,7.9,8.0,8.0,8.0
